Number;Text;Flag
500000;聲譽喜好切換;Modified
500001;我對你沒有反應。;Modified
500002;我要回家了;Modified
500003;搜尋中;Modified
500004;閒逛，徘徊中。;Modified
500005;因為旗標而從戰鬥中撤退;Modified
500006;你的封嘴狀態解除;Modified
500007;你的麻痺狀態解除;Modified
500008;你的無敵狀態解除;Modified
500009;游泳中;Modified
500010;無此語法;Modified
500011;缺少變數;Modified
500012;你無法在死亡時使用本技能;Modified
500013;你無法使用本技能;Modified
500014;本技能無法直接使用;Modified
500015;你沒學得該魔法！;Modified
500016;你沒學得該魔法！;Modified
500017;銀行現在營業中！;Modified
500018;銀行現在休息中;Modified
500019;錯誤參數，銀行現在營業中;Modified
500020;錯誤參數，銀行現在休息中;Modified
500021;語法：.addres bank|world resourcetype (amount);Modified
500022;你所在的位置沒有資源;Modified
500023;Bad sethue;Modified
500024;開門...;Modified
500025;記憶體報告寫入;Modified
500026;無法開啟要夾帶的檔案;Modified
500027;記憶體除錯功能未啟動;Modified
500028;無法開啟主機端寫入的 reslist.txt;Modified
500029;開啟主機端的 reslist.txt;Modified
500030;真實;Modified
500031;不，長官;Modified
500032;無此物件。;Modified
500033;找不到目標;Modified
500034;找不到目標;Modified
500035;找不到目標;Modified
500036;找不到目標;Modified
500037;語法：become template_number;Modified
500038;成功！;Modified
500039;失敗！;Modified
500040;GM模式開啟;Modified
500041;GM模式關閉;Modified
500042;語法：gm [on|off];Modified
500043;找不到目標;Modified
500044;找不到目標;Modified
500045;找不到目標;Modified
500046;找不到目標;Modified
500047;找不到目標;Modified
500048;找不到目標;Modified
500049;找不到目標;Modified
500050;找不到目標;Modified
500051;找不到目標;Modified
500052;找不到目標;Modified
500053;找不到目標;Modified
500054;找不到目標;Modified
500055;找不到目標;Modified
500056;戰鬥開始？;Modified
500057;找不到目標;Modified
500058;傳送風暴開始;Modified
500059;找不到物體;Modified
500060;找不到物體;Modified
500061;找不到物體;Modified
500062;語法：getplayers num x y z;Modified
500063;找不到玩家;Modified
500064;找不到玩家;Modified
500065;找不到物體;Modified
500066;語法：multi_repos id x y z;Modified
500067;完成！;Modified
500068;multi template id 錯誤;Modified
500069;語法：multi_nosend id value;Modified
500070;完成！;Modified
500071;multi template id 錯誤;Modified
500072;語法：decay_test value;Modified
500073;腐化測試開啟！;Modified
500074;腐化測試關閉！;Modified
500075;開始腐化;Modified
500076;傳送地點錯誤;Modified
500077;傳送地點錯誤;Modified
500078;將玩家送入監獄;Modified
500079;抱歉，你沒有這位玩家的設定;Modified
500080;受刑人未設定釋放地點，請使用 release;Modified
500081;釋放玩家;Modified
500082;抱歉，你沒有這位玩家的設定;Modified
500083;釋放地點錯誤;Modified
500084;很抱歉，此動作會將一位不具有 Gold 版本的玩家傳送到 Gold 版本的地圖內;Modified
500085;釋放玩家;Modified
500086;抱歉，你沒有這位玩家的設定;Modified
500087;GM求助請求已輸入;Modified
500088;無法辨識的顧問命令;Modified
500089;目前沒有人請求協助中;Modified
500090;前往目前玩家所在位置;Modified
500091;目前的協助請求已經失效;Modified
500092;從列表中移除上一位玩家;Modified
500093;目前沒有任何未處裡的事件;Modified
500094;前往下一個玩家所在地;Modified
500095;將請求通知GM;Modified
500096;抱歉，你沒有這位玩家的設定;Modified
500097;玩家取消請求;Modified
500098;那個列表並不存在;Modified
500099;玩家取消請求;Modified
500100;地點錯誤;Modified
500101;玩家取消請求;Modified
500102;抱歉，你沒有這位玩家的設定;Modified
500103;玩家的請求已經從列表中移除;Modified
500104;抱歉，你沒有這位玩家的設定;Modified
500105;錯誤的請求，玩家的請求已經從列表中移除;Modified
500106;目前並無需要處理的請求;Modified
500107;玩家不存在;Modified
500108;你的座騎太累，走不動了;Modified
500109;你攜帶了過重的物品，因此無法移動！;Modified
500110;你太累，走不動了;Modified
500111;你正在施法中，無法移動;Modified
500112;你現在進入城鎮守衛的保護下;Modified
500113;你已經離開了城鎮守衛的保護區;Modified
500114;你現在進入城鎮守衛的保護下，如果有需要你可以喊 'guards '呼叫守衛！;Modified
500115;小心！你已經離開了城鎮守衛的保護區，當你遭受攻擊時，守衛將無法保護你！如果你覺得自己還沒準備好，掉頭回去吧！！;Modified
500116;你的靈魂重新回到軀體上;Modified
500117;由於某些效應，你的靈魂與軀體重新結合了;Modified
500118;必須稍候一會，才能使用下一個技能;Modified
500119;你必須稍候才能進行下一個動作。;Modified
500120;你的罪行被判定為自衛行為;Modified
500121;名聲下降，但 oneWay 阻止了它;Modified
500122;名聲提昇，但 oneWay 阻止了它;Modified
500123;隊伍組成，且組員加入了;Modified
500124;隊伍組成了。;Modified
500125;我離開了我的隊伍，並任命一位新的隊長;Modified
500126;隊伍解散！;Modified
500127;我已經加入了一個隊伍;Modified
500128;我已經離開了一個隊伍;Modified
500129;攻擊一隻寵物！;Modified
500130;由於你沒有足夠的金錢來贖罪。因此必須處死;Modified
500131;你將為你的行為感到後悔的，笨豬！;Modified
500132;我累了！;Modified
500133;你的座騎很累了;Modified
500134;你停止了冥想;Modified
500135;再生力無法穿透你的護甲;Modified
500136;重新連線;Modified
500137;呼叫IsMoveable.....;Modified
500138;mulitcomp，無法移動;Modified
500139;編輯中，確定;Modified
500140;No Draw，No Go;Modified
500141;屍體，無法移動;Modified
500142;太重了，無法移動;Modified
500143;重量檢查顯示確定;Modified
500144;Tile Manager 核准，確定;Modified
500145;跌落到 IsMoveable 的底部，無法移動;Modified
500146;無法找到 Duplicate Id;Modified
500147;壓縮尚未啟用;Modified
500148;格式：set <target> <variable> <value>;Modified
500149;"變數：strength; dexterity; intelligence; maxhp; curhp; maxmana; curmana; maxfatigue; curfatigue; hue; notoriety; fame; karma; name; body; skill; location; naturalac; naturalwc; tithingpoints; race; sex";Modified
500150;格式：set <target> <variable> <value>;Modified
500151;"變數：strength; dexterity; intelligence; maxhp; curhp; maxmana; curmana; maxfatigue; curfatigue; hue; notoriety; fame; karma; name; body; skill; location; naturalac; naturalwc; tithingpoints; race; sex";Modified
500152;找不到目標;Modified
500153;地點錯誤;Modified
500154;語法：set target location [x y|x y z];Modified
500155;格式：set <target> skill <value>;Modified
500156;技能錯誤;Modified
500157;格式：set <target> skillmod <value>;Modified
500158;技能錯誤;Modified
500159;格式：query <target> <variable>;Modified
500160;"變數：strength; dexterity; intelligence; strengthmod; dexteritymod; intelligencemod; hunger; maxhp; curhp; maxmana; curmana; maxfatigue; curfatigue; luck; nightsight; reflectphysicaldamage; potionstrength; attackchance; defensechance; spelldamage; castrecovery; castspeed; manacost; reagentcost; swingspeed; damagemodifier; race; sex; resist <type> [max]; notoriety; fame; karma; adjfame; adjkarma; body; skill <num>; skillval; skillmod; updaterange; creationtime";Modified
500161;找不到目標;Modified
500162;格式：add <target> <variable> <value>;Modified
